
Ecm Reference,Branch Name,Case Creation Date,Customer Name,Amount,Currency,Primary Owner,Case Status,Last Action Taken By,Product,Product Type,Event Name,Applicant Id,Expiry Date,Beneficiary Name
ACH-5452,,31/08/2020 13:14:56,,,,,Sanction New,achadmin,,,,,,
ACH-5453,,31/08/2020 13:14:54,,,,,Sanction New,achadmin,,,,,,
ACH-5454,,31/08/2020 13:14:59,,,,,Sanction New,achadmin,,,,,,
ACH-6771,,31/08/2020 16:01:29,,,,,Sanction New,achadmin,,,,,,
ACH-6772,,31/08/2020 16:01:36,,,,,Sanction New,achadmin,,,,,,
ACH-6774,,31/08/2020 16:01:26,,,,,Sanction New,achadmin,,,,,,
ACH-6781,,31/08/2020 16:02:21,,,,,Sanction New,achadmin,,,,,,
ACH-6782,,31/08/2020 16:02:30,,,,,Sanction New,achadmin,,,,,,
ACH-6793,,31/08/2020 16:01:34,,,,sanction_admin,Maker Reject,sanction_admin,,,,,,
ACH-6794,,31/08/2020 16:01:32,,,,,Sanction New,achadmin,,,,,,
ACH-6797,,31/08/2020 16:04:49,,,,,Sanction New,achadmin,,,,,,
ACH-6800,,31/08/2020 16:10:50,,,,,Sanction New,achadmin,,,,,,
ACH-6801,,31/08/2020 16:08:34,,,,,Sanction New,achadmin,,,,,,
ACH-6802,,31/08/2020 16:05:17,,,,,Sanction New,achadmin,,,,,,
ACH-6805,,31/08/2020 16:10:43,,,,,Sanction New,achadmin,,,,,,
ACH-6806,,31/08/2020 16:11:01,,,,,Maker Accept,ECM Admin User,,,,,,
ACH-6807,,31/08/2020 16:10:44,,,,,Sanction New,achadmin,,,,,,
ACH-6808,,31/08/2020 16:11:00,,,,sanction_admin,Sanction Closed,sanction_admin,,,,,,
ACH-6809,,31/08/2020 16:10:50,,,,,Sanction New,achadmin,,,,,,
ACH-6810,,31/08/2020 16:11:01,,,,sanction_admin,Sanction Closed,sanction_admin,,,,,,
ACH-6811,,31/08/2020 16:11:03,,,,admin,Sanction Closed,admin,,,,,,
ACH-6825,,31/08/2020 16:02:02,,,,,Sanction New,achadmin,,,,,,
ACH-6832,,31/08/2020 16:02:37,,,,,Sanction New,achadmin,,,,,,
ACH-6841,,31/08/2020 16:07:01,,,,,Sanction New,achadmin,,,,,,
ACH-6842,,31/08/2020 16:02:27,,,,,Sanction New,achadmin,,,,,,
ACH-6844,,31/08/2020 16:06:21,,,,,Sanction New,achadmin,,,,,,
ACH-6845,,31/08/2020 16:06:36,,,,,Sanction New,achadmin,,,,,,
ACH-6847,,31/08/2020 16:06:31,,,,,Sanction New,achadmin,,,,,,
ACH-6848,,31/08/2020 16:06:39,,,,,Sanction New,achadmin,,,,,,
ACH-6850,,31/08/2020 16:08:18,,,,,Sanction New,achadmin,,,,,,
ACH-6856,,31/08/2020 16:10:50,,,,admin,Sanction Terminated,admin,,,,,,
ACH-6858,,31/08/2020 16:06:41,,,,,Sanction New,achadmin,,,,,,
ACH-7099,,01/09/2020 00:01:39,,,,admin,Sanction Closed,admin,,,,,,
ACTIVITI-WF-2023-502818,001,19/07/2023 06:49:48,,,,,New,mumin,,,Cancel,,,
ACTIVITI-WF-2023-502819,001,19/07/2023 09:14:36,,,,,New,,,,Cancel,,,
ACTIVITI-WF-2023-512800,001,26/07/2023 05:48:17,,,,,New,,,,,,,
ACTIVITI-WF-2023-512801,001,26/07/2023 08:51:59,,,,,New,,,,Cancel,,,
ACTIVITI-WF-2023-512807,001,29/07/2023 17:30:11,,,,,New,,,,Cancel,,,
ACTIVITIWF-2023-512808,001,29/07/2023 17:57:23,,,,,New,,,,Cancel,,,
ACTVTI-WF-2023-512809,001,29/07/2023 18:13:24,,,,,New,,,,Cancel,,,
ACTVTI-WF-2023-512810,001,30/07/2023 09:45:05,,,,,,,,,Cancel,,,
ACTVTI-WF-2023-512811,001,30/07/2023 09:51:43,,,,,New,,,,Cancel,,,
ACTVTI-WF-2023-512815,001,31/07/2023 10:35:10,,,,,New,,,,Cancel,,,
ACTVTI-WF-2023-512817,001,08/08/2023 00:00:03,,,,,New,,,,Cancel,,,
ACTVTI-WF-2023-512818,001,08/08/2023 00:23:25,,,,,New,,,,Cancel,,,
BULK-14410,,15/06/2021 18:56:16,,0,,,Sanction New,bulkadmin,,,,,,
BULK-14471,,24/06/2021 19:16:03,,0,,admin,Sanction Closed,admin,,,,,,
BULK-14492,,28/06/2021 21:17:14,,0,,,Sanction New,bulkadmin,,,,,,
BULK-14496,,28/06/2021 21:18:32,,0,,,Sanction New,bulkadmin,,,,,,
BULK-14500,,28/06/2021 21:20:01,,0,,,Sanction New,bulkadmin,,,,,,
BULK-14504,,28/06/2021 21:20:47,,0,,,Sanction New,bulkadmin,,,,,,
BULK-14505,,28/06/2021 21:21:00,,0,,,Sanction New,bulkadmin,,,,,,
BULK-14506,,28/06/2021 21:21:24,,0,,,Sanction New,bulkadmin,,,,,,
BULK-17554,,21/07/2021 14:47:29,,0,,,Sanction New,bulkadmin,,,,,,
BULK-17641,,06/10/2021 17:28:51,,0,,admin,Sanction Terminated,admin,,,,,,
BULK-17642,,06/10/2021 17:38:15,,0,,,Sanction New,bulkadmin,,,,,,
BULK-17643,,06/10/2021 17:42:47,,0,,,Sanction New,bulkadmin,,,,,,
BULK-17647,,06/10/2021 18:03:19,,0,,admin,Sanction Closed,admin,,,,,,
BULK-17648,,06/10/2021 18:03:18,,0,,admin,Sanction Terminated,admin,,,,,,
BULK-17649,,06/10/2021 18:03:19,,0,,admin,Sanction Terminated,admin,,,,,,
BULK-17650,,06/10/2021 18:03:18,,0,,admin,Sanction Closed,admin,,,,,,
BULK-17657,,06/10/2021 19:03:25,,0,,,Sanction New,bulkadmin,,,,,,
BULK-17660,,06/10/2021 19:03:25,,0,,,Sanction New,bulkadmin,,,,,,
BULK-17661,,06/10/2021 19:12:48,,0,,,Sanction New,bulkadmin,,,,,,
BULK-17663,,06/10/2021 19:20:07,,0,,,Sanction New,bulkadmin,,,,,,
BULK-17664,,06/10/2021 19:20:07,,0,,,Sanction New,bulkadmin,,,,,,
BULK-17668,,06/10/2021 19:23:33,,0,,,Sanction New,bulkadmin,,,,,,
BULK-17742,,07/10/2021 14:37:55,,0,,,Sanction New,bulkadmin,,,,,,
BULK-17744,,07/10/2021 14:41:24,,0,,,Sanction New,bulkadmin,,,,,,
BULK-18692,,10/01/2022 18:26:49,,0,null,admin,Sanction Closed,admin,,,,,,
BULK-18693,,10/01/2022 18:26:38,,0,null,,Sanction New,admin,,,,,,
BULK-18695,,10/01/2022 18:26:39,,0,null,,Sanction New,admin,,,,,,
BULK-18696,,10/01/2022 18:34:01,,0,null,admin,Sanction Closed,admin,,,,,,
BULK-18697,,10/01/2022 18:37:21,,0,null,admin,Sanction Terminated,admin,,,,,,
BULK-18719,,07/02/2022 11:15:42,,0,null,,Sanction New,admin,,,,,,
BULK-18722,,07/02/2022 13:02:11,,0,null,,Sanction New,admin,,,,,,
BULK-18723,,07/02/2022 13:02:10,,0,null,,Sanction New,admin,,,,,,
BULK-18746,,07/02/2022 20:31:01,,0,null,,Sanction New,admin,,,,,,
BULK-18748,,07/02/2022 20:30:48,,0,null,,Sanction New,admin,,,,,,
BULK-18749,,07/02/2022 20:30:45,,0,null,admin,Sanction Terminated,admin,,,,,,
BULK-18750,,07/02/2022 20:30:57,,0,null,,Sanction New,admin,,,,,,
BULK-18751,,07/02/2022 20:30:45,,0,null,admin,Sanction Closed,admin,,,,,,
BULK-18752,,07/02/2022 20:31:02,,0,null,,Sanction New,admin,,,,,,
BULK-18754,,07/02/2022 20:47:59,,0,null,,Sanction New,admin,,,,,,
BULK-18755,,07/02/2022 20:48:02,,0,null,,Sanction New,admin,,,,,,
BULK-18756,,07/02/2022 20:48:14,,0,null,,Sanction New,admin,,,,,,
BULK-18758,,07/02/2022 20:48:11,,0,null,,Sanction New,admin,,,,,,
BULK-18759,,07/02/2022 20:48:15,,0,null,,Sanction New,admin,,,,,,
BULK-20932,,15/02/2022 17:58:55,,0,null,,Sanction New,admin,,,,,,
BULK-20934,,15/02/2022 17:58:54,,0,null,,Sanction New,admin,,,,,,
BULK-20935,,15/02/2022 17:59:04,,0,null,,Sanction New,admin,,,,,,
BULK-20936,,15/02/2022 17:58:56,,0,null,,Sanction New,admin,,,,,,
BULK-20937,,15/02/2022 17:59:07,,0,null,,Sanction New,admin,,,,,,
BULK-20938,,15/02/2022 17:59:10,,0,null,,Sanction New,admin,,,,,,
BULK-20939,,15/02/2022 17:59:04,,0,null,,Sanction New,admin,,,,,,
BULK-20940,,15/02/2022 17:59:12,,0,null,,Sanction New,admin,,,,,,
BULK-20941,,15/02/2022 17:58:55,,0,null,,Sanction New,admin,,,,,,
BULK-20942,,15/02/2022 18:18:52,,0,null,,Sanction New,admin,,,,,,
BULK-20943,,15/02/2022 18:19:09,,0,null,,Sanction New,admin,,,,,,
BULK-20944,,15/02/2022 18:18:48,,0,null,,Sanction New,admin,,,,,,
BULK-20946,,15/02/2022 18:18:56,,0,null,,Sanction New,admin,,,,,,
BULK-20947,,15/02/2022 18:19:00,,0,null,admin,Sanction Closed,admin,,,,,,
BULK-20948,,15/02/2022 18:18:47,,0,null,,Sanction New,admin,,,,,,
BULK-20949,,15/02/2022 18:19:05,,0,null,,Sanction New,admin,,,,,,
BULK-20950,,15/02/2022 18:19:11,,0,null,admin,Sanction Closed,admin,,,,,,
BULK-20951,,15/02/2022 18:18:54,,0,null,,Sanction New,admin,,,,,,
BULK-20952,,15/02/2022 18:19:06,,0,null,admin,Sanction Terminated,admin,,,,,,
BULK-20953,,15/02/2022 18:26:38,,0,null,,Sanction New,admin,,,,,,
BULK-20954,,15/02/2022 18:26:24,,0,null,,Sanction New,admin,,,,,,
BULK-20956,,15/02/2022 18:26:32,,0,null,,Sanction New,admin,,,,,,
BULK-20957,,15/02/2022 18:26:38,,0,null,,Sanction New,admin,,,,,,
BULK-20958,,15/02/2022 18:26:20,,0,null,,Sanction New,admin,,,,,,
BULK-20959,,15/02/2022 18:26:29,,0,null,,Sanction New,admin,,,,,,
BULK-20960,,15/02/2022 18:26:41,,0,null,,Sanction New,admin,,,,,,
BULK-20961,,15/02/2022 18:26:24,,0,null,,Sanction New,admin,,,,,,
BULK-20962,,15/02/2022 18:26:30,,0,null,,Sanction New,admin,,,,,,
BULK-20963,,15/02/2022 18:26:31,,0,null,,Sanction New,admin,,,,,,
BULK-20964,,15/02/2022 18:30:24,,0,null,,Sanction New,admin,,,,,,
BULK-20966,,15/02/2022 18:30:28,,0,null,,Sanction New,admin,,,,,,
BULK-20967,,15/02/2022 18:30:30,,0,null,,Sanction New,admin,,,,,,
BULK-20968,,15/02/2022 18:30:21,,0,null,,Sanction New,admin,,,,,,
BULK-20969,,15/02/2022 18:30:38,,0,null,,Sanction New,admin,,,,,,
BULK-20970,,15/02/2022 18:30:33,,0,null,,Sanction New,admin,,,,,,
BULK-20971,,15/02/2022 18:30:31,,0,null,,Sanction New,admin,,,,,,
BULK-20972,,15/02/2022 18:30:19,,0,null,,Sanction New,admin,,,,,,
BULK-20973,,15/02/2022 18:30:33,,0,null,,Sanction New,admin,,,,,,
BULK-20974,,15/02/2022 18:30:33,,0,null,,Sanction New,admin,,,,,,
BULK-20976,,15/02/2022 18:40:46,,0,null,,Sanction New,admin,,,,,,
BULK-21102,,23/02/2022 14:41:34,,0,null,,Sanction New,admin,,,,,,
BULK-21103,,23/02/2022 14:39:14,,0,null,,Sanction New,admin,,,,,,
BULK-21106,,23/02/2022 14:43:22,,0,null,,Sanction New,admin,,,,,,
BULK-21107,,23/02/2022 14:47:39,,0,null,,Sanction New,admin,,,,,,
BULK-21108,,23/02/2022 14:45:16,,0,null,,Sanction New,admin,,,,,,
BULK-21120,,23/02/2022 14:49:33,,0,null,,Sanction New,admin,,,,,,
BULK-22133,,05/04/2022 15:32:48,,0,null,admin,Checker Return,admin,,,,,,
BULK-22138,,11/04/2022 10:18:24,,0,null,,Sanction New,admin,,,,,,
BULK-22142,,11/04/2022 13:27:39,,0,null,,Sanction New,admin,,,,,,
BULK-22143,,11/04/2022 13:59:16,,0,null,,Sanction New,admin,,,,,,
BULK-22144,,11/04/2022 13:59:20,,0,null,,Sanction New,admin,,,,,,
BULK-22145,,11/04/2022 13:59:24,,0,null,,Sanction New,admin,,,,,,
BULK-22146,,11/04/2022 13:59:01,,0,null,,Sanction New,admin,,,,,,
BULK-22147,,11/04/2022 13:59:15,,0,null,,Sanction New,admin,,,,,,
BULK-22148,,11/04/2022 13:59:02,,0,null,,Sanction New,admin,,,,,,
BULK-22149,,11/04/2022 13:59:23,,0,null,,Sanction New,admin,,,,,,
BULK-22150,,11/04/2022 13:59:14,,0,null,,Sanction New,admin,,,,,,
BULK-22153,,11/04/2022 13:59:18,,0,null,,Sanction New,admin,,,,,,
BULK-22155,,12/04/2022 10:36:40,,0,null,admin,,admin,,,,,,
BULK-22197,,12/04/2022 16:34:51,,0,null,,Sanction New,admin,,,,,,
BULK-22206,,13/04/2022 08:49:28,,0,null,,Sanction New,admin,,,,,,
BULK-22212,,13/04/2022 09:00:25,,0,null,,Sanction New,admin,,,,,,
BULK-23239,,12/06/2022 12:57:27,,0,null,admin,,admin,,,,,,
BULK-23247,,07/08/2022 14:57:13,,0,null,admin,Sanction Closed,admin,,,,,,
BULK-23248,,07/08/2022 14:57:08,,0,null,,Sanction New,admin,,,,,,
BULK-23249,,07/08/2022 14:57:16,,0,null,,Sanction New,admin,,,,,,
BULK-23250,,07/08/2022 14:57:12,,0,null,admin,Checker Return,admin,,,,,,
BULK-23251,,07/08/2022 14:57:15,,0,null,admin,Sanction Terminated,admin,,,,,,
BULK-23252,,07/08/2022 15:39:27,,0,null,,Sanction New,admin,,,,,,
BULK-23253,,07/08/2022 15:39:28,,0,null,,Sanction New,admin,,,,,,
BULK-23254,,07/08/2022 15:39:19,,0,null,admin,Sanction Terminated,admin,,,,,,
BULK-23345,,26/09/2022 20:07:46,,0,null,,Sanction New,admin,,,,,,
BULK-23346,,26/09/2022 20:08:17,,0,null,,Sanction New,admin,,,,,,
BULK-23347,,26/09/2022 20:07:44,,0,null,,Sanction New,admin,,,,,,
BULK-23349,,26/09/2022 20:07:28,,0,null,,Sanction New,admin,,,,,,
BULK-23350,,26/09/2022 20:07:48,,0,null,,Sanction New,admin,,,,,,
BULK-23352,,26/09/2022 20:07:37,,0,null,,Sanction New,admin,,,,,,
BULK-23353,,26/09/2022 20:08:25,,0,null,,Sanction New,admin,,,,,,
BULK-23356,,26/09/2022 20:08:34,,0,null,,Sanction New,admin,,,,,,
BULK-23358,,26/09/2022 20:07:47,,0,null,,Sanction New,admin,,,,,,
BULK-23359,,26/09/2022 20:07:30,,0,null,,Sanction New,admin,,,,,,
BULK-23360,,26/09/2022 20:07:53,,0,null,,Sanction New,admin,,,,,,
BULK-23361,,26/09/2022 20:07:48,,0,null,admin,Maker Accept,admin,,,,,,
BULK-23363,,26/09/2022 20:08:16,,0,null,,Sanction New,admin,,,,,,
BULK-23365,,26/09/2022 20:08:17,,0,null,,Sanction New,admin,,,,,,
BULK-23366,,26/09/2022 20:08:09,,0,null,,Sanction New,admin,,,,,,
BULK-23367,,26/09/2022 20:08:05,,0,null,,Sanction New,admin,,,,,,
BULK-23369,,26/09/2022 20:08:19,,0,null,,Sanction New,admin,,,,,,
BULK-23370,,26/09/2022 20:08:05,,0,null,,Sanction New,admin,,,,,,
BULK-23371,,26/09/2022 20:10:18,,0,null,,Sanction New,admin,,,,,,
BULK-23373,,26/09/2022 20:08:34,,0,null,,Sanction New,admin,,,,,,
BULK-23374,,26/09/2022 20:08:24,,0,null,,Sanction New,admin,,,,,,
BULK-23375,,26/09/2022 20:08:45,,0,null,,Sanction New,admin,,,,,,
BULK-23377,,26/09/2022 20:08:39,,0,null,,Sanction New,admin,,,,,,
BULK-23378,,26/09/2022 20:08:31,,0,null,,Sanction New,admin,,,,,,
BULK-23379,,26/09/2022 20:08:42,,0,null,,Sanction New,admin,,,,,,
BULK-23380,,26/09/2022 20:08:45,,0,null,,Sanction New,admin,,,,,,
BULK-23381,,26/09/2022 20:09:36,,0,null,,Sanction New,admin,,,,,,
BULK-23382,,26/09/2022 20:08:43,,0,null,,Sanction New,admin,,,,,,
BULK-23383,,26/09/2022 20:10:29,,0,null,,Sanction New,admin,,,,,,
BULK-23384,,26/09/2022 20:08:49,,0,null,,Sanction New,admin,,,,,,
BULK-23385,,26/09/2022 20:09:01,,0,null,,Sanction New,admin,,,,,,
BULK-23387,,26/09/2022 20:09:04,,0,null,,Sanction New,admin,,,,,,
BULK-23388,,26/09/2022 20:09:11,,0,null,,Sanction New,admin,,,,,,
BULK-23389,,26/09/2022 20:09:24,,0,null,,Sanction New,admin,,,,,,
BULK-23390,,26/09/2022 20:09:32,,0,null,,Sanction New,admin,,,,,,
BULK-23391,,26/09/2022 20:09:26,,0,null,,Sanction New,admin,,,,,,
BULK-23392,,26/09/2022 20:09:03,,0,null,,Sanction New,admin,,,,,,
BULK-23394,,26/09/2022 20:09:25,,0,null,,Sanction New,admin,,,,,,
BULK-23395,,26/09/2022 20:09:25,,0,null,,Sanction New,admin,,,,,,
BULK-23397,,26/09/2022 20:10:50,,0,null,,Sanction New,admin,,,,,,
BULK-23531,,02/10/2022 16:03:12,,0,null,,Sanction New,admin,,,,,,
BULK-23532,,02/10/2022 16:03:19,,0,null,,Sanction New,admin,,,,,,
BULK-23534,,02/10/2022 16:03:06,,0,null,admin,Sanction Closed,admin,,,,,,
BULK-23536,,02/10/2022 16:03:20,,0,null,,Sanction New,admin,,,,,,
BULK-24,,02/02/2022 15:48:28,,0,null,admin,Sanction Terminated,admin,,,,,,
BULK-27,,02/02/2022 15:48:27,,0,null,admin,Sanction Closed,admin,,,,,,
BULK-28,,02/02/2022 15:48:27,,0,null,admin,Sanction Closed,admin,,,,,,
BULK-29,,03/02/2022 11:44:38,,0,null,admin,Sanction Closed,admin,,,,,,
BULK-30,,03/02/2022 11:44:38,,0,null,admin,Sanction Terminated,admin,,,,,,
BULK-31,,03/02/2022 11:44:41,,0,null,admin,Sanction Terminated,admin,,,,,,
BULK-32,,03/02/2022 11:44:39,,0,null,admin,Sanction Closed,admin,,,,,,
BULK-3533,,12/09/2020 12:49:01,,,,,Sanction New,bulkadmin,,,,,,
BULK-3535,,12/09/2020 12:32:18,,,,,Sanction New,bulkadmin,,,,,,
BULK-3538,,12/09/2020 12:37:22,,,,,Sanction New,bulkadmin,,,,,,
BULK-3539,,12/10/2020 13:22:36,,,,,Sanction New,bulkadmin,,,,,,
BULK-3540,,12/09/2020 12:51:45,,,,,Sanction New,bulkadmin,,,,,,
BULK-3541,,12/09/2020 12:38:32,,,,,Sanction New,bulkadmin,,,,,,
BULK-3543,,12/09/2020 12:49:14,,,,,Sanction New,bulkadmin,,,,,,
BULK-3544,,12/09/2020 12:35:23,,,,,Sanction New,bulkadmin,,,,,,
BULK-3545,,12/10/2020 13:23:31,,,,,Sanction New,bulkadmin,,,,,,
BULK-3548,,12/09/2020 12:58:23,,,,,Sanction New,bulkadmin,,,,,,
BULK-3549,,12/09/2020 12:46:20,,,,,Sanction New,bulkadmin,,,,,,
BULK-3551,,12/09/2020 12:59:32,,,,,Sanction New,bulkadmin,,,,,,
BULK-3552,,12/10/2020 13:11:13,,,,,Sanction New,bulkadmin,,,,,,
BULK-3553,,12/10/2020 13:11:34,,,,,Sanction New,bulkadmin,,,,,,
BULK-3554,,12/09/2020 12:47:37,,,,,Sanction New,bulkadmin,,,,,,
BULK-3555,,12/10/2020 13:08:33,,,,,Sanction New,bulkadmin,,,,,,
BULK-3556,,12/09/2020 12:37:38,,,,,Sanction New,bulkadmin,,,,,,
BULK-3559,,12/09/2020 12:36:15,,,,,Sanction New,bulkadmin,,,,,,
BULK-3561,,12/09/2020 12:33:09,,,,,Sanction New,bulkadmin,,,,,,
BULK-3562,,12/09/2020 12:46:50,,,,,Sanction New,bulkadmin,,,,,,
BULK-3564,,12/09/2020 12:39:45,,,,,Sanction New,bulkadmin,,,,,,
BULK-3565,,12/09/2020 12:44:54,,,,,Sanction New,bulkadmin,,,,,,
BULK-3566,,12/10/2020 13:08:31,,,,,Sanction New,bulkadmin,,,,,,
BULK-3567,,12/09/2020 12:34:56,,,,,Sanction New,bulkadmin,,,,,,
BULK-3569,,12/10/2020 13:10:36,,,,,Sanction New,bulkadmin,,,,,,
BULK-3570,,12/09/2020 12:43:32,,,,,Sanction New,bulkadmin,,,,,,
BULK-3572,,12/09/2020 12:34:52,,,,,Sanction New,bulkadmin,,,,,,
BULK-3573,,12/09/2020 13:06:30,,,,,Sanction New,bulkadmin,,,,,,
BULK-3574,,12/09/2020 13:03:50,,,,,Sanction New,bulkadmin,,,,,,
BULK-3575,,12/09/2020 12:51:02,,,,,Sanction New,bulkadmin,,,,,,
BULK-3577,,12/09/2020 12:50:35,,,,,Sanction New,bulkadmin,,,,,,
BULK-3578,,12/10/2020 13:10:32,,,,,Sanction New,bulkadmin,,,,,,
BULK-3580,,12/09/2020 12:35:06,,,,,Sanction New,bulkadmin,,,,,,
BULK-3581,,12/10/2020 13:30:56,,,,,Sanction New,bulkadmin,,,,,,
BULK-3582,,12/10/2020 13:08:03,,,,,Sanction New,bulkadmin,,,,,,
BULK-3583,,12/10/2020 13:12:57,,,,,Sanction New,bulkadmin,,,,,,
BULK-3586,,12/09/2020 12:51:22,,,,,Sanction New,bulkadmin,,,,,,
BULK-3589,,12/09/2020 13:04:59,,,,,Sanction New,bulkadmin,,,,,,
BULK-3590,,12/10/2020 13:33:20,,,,,Sanction New,bulkadmin,,,,,,
BULK-3591,,12/09/2020 12:52:07,,,,,Sanction New,bulkadmin,,,,,,
BULK-3592,,12/10/2020 13:09:47,,,,,Sanction New,bulkadmin,,,,,,
BULK-3593,,12/10/2020 13:14:44,,,,,Sanction New,bulkadmin,,,,,,
BULK-3594,,12/09/2020 12:46:10,,,,,Sanction New,bulkadmin,,,,,,
BULK-3595,,12/10/2020 13:12:21,,,,,Sanction New,bulkadmin,,,,,,
BULK-3597,,12/09/2020 13:02:25,,,,,Sanction New,bulkadmin,,,,,,
BULK-3598,,12/09/2020 12:55:49,,,,,Sanction New,bulkadmin,,,,,,
BULK-3599,,12/09/2020 12:43:14,,,,,Sanction New,bulkadmin,,,,,,
BULK-3600,,12/10/2020 13:44:59,,,,,Sanction New,bulkadmin,,,,,,
BULK-3603,,12/09/2020 13:06:01,,,,,Sanction New,bulkadmin,,,,,,
BULK-3604,,12/09/2020 12:53:47,,,,,Sanction New,bulkadmin,,,,,,
BULK-3605,,12/09/2020 12:46:59,,,,,Sanction New,bulkadmin,,,,,,
BULK-3606,,12/09/2020 12:56:11,,,,,Sanction New,bulkadmin,,,,,,
BULK-3609,,12/10/2020 13:12:07,,,,,Sanction New,bulkadmin,,,,,,
BULK-3610,,12/10/2020 13:43:15,,,,,Sanction New,bulkadmin,,,,,,
BULK-3611,,12/09/2020 12:43:12,,,,,Sanction New,bulkadmin,,,,,,
BULK-3613,,12/10/2020 13:08:02,,,,,Sanction New,bulkadmin,,,,,,
BULK-3614,,12/09/2020 12:53:44,,,,,Sanction New,bulkadmin,,,,,,
BULK-3617,,12/10/2020 13:12:59,,,,,Sanction New,bulkadmin,,,,,,
BULK-3620,,12/10/2020 13:10:49,,,,,Sanction New,bulkadmin,,,,,,
BULK-3626,,12/10/2020 13:13:02,,,,,Sanction New,bulkadmin,,,,,,
BULK-3629,,12/10/2020 13:13:19,,,,,Sanction New,bulkadmin,,,,,,
BULK-44852,,15/08/2022 13:21:26,,0,null,,Sanction New,admin,,,,,,
BULK-44853,,15/08/2022 13:21:26,,0,null,admin,Sanction Closed,admin,,,,,,
BULK-44854,,15/08/2022 13:21:27,,0,null,,Sanction New,admin,,,,,,
BULK-44856,,15/08/2022 13:21:30,,0,null,admin,Sanction Terminated,admin,,,,,,
BULK-44868,,15/08/2022 16:42:44,,0,null,,Sanction New,admin,,,,,,
BULK-44869,,15/08/2022 16:42:45,,0,null,,Sanction New,admin,,,,,,
BULK-44870,,15/08/2022 16:42:44,,0,null,,Sanction New,admin,,,,,,
BULK-44871,,15/08/2022 16:42:47,,0,null,,Sanction New,admin,,,,,,
BULK-44887,,15/08/2022 16:49:01,,0,null,,Sanction New,admin,,,,,,
BULK-44888,,15/08/2022 16:49:02,,0,null,,Sanction New,admin,,,,,,
BULK-44889,,15/08/2022 16:49:01,,0,null,,Sanction New,admin,,,,,,
BULK-44890,,15/08/2022 16:49:04,,0,null,,Sanction New,admin,,,,,,
BULK-45907,,06/10/2022 22:35:45,,0,null,,Sanction New,admin,,,,,,
BULK-45909,,06/10/2022 22:35:49,,0,null,,Sanction New,admin,,,,,,
BULK-45911,,06/10/2022 22:35:46,,0,null,,Sanction New,admin,,,,,,
BULK-45950,,07/10/2022 19:26:37,,0,null,,Sanction New,sanction_admin,,,,,,
BULK-45951,,07/10/2022 19:26:40,,0,null,sanction_admin,Sanction Closed,sanction_admin,,,,,,
BULK-45953,,07/10/2022 19:26:37,,0,null,,Sanction New,sanction_admin,,,,,,
BULK-45954,,07/10/2022 19:26:36,,0,null,,Sanction New,sanction_admin,,,,,,
BULK-46076,,11/10/2022 17:44:04,,0,null,,Sanction New,sanction_admin,,,,,,
BULK-46077,,11/10/2022 17:44:07,,0,null,,Sanction New,sanction_admin,,,,,,
BULK-46079,,11/10/2022 17:44:06,,0,null,sanction_admin,Sanction Closed,sanction_admin,,,,,,
