GroupName,GroupDescription,Grouptype,CapabilityId,CapabilitiyGroupName,CapName,ComponentName
AML Analysts,Members of this group have Analyst role,Group,AML.RISK_ASSESSMENTS.ACCESS.MY,Anti-Money Laundering Risk Assessment,Access My Risk Assessments,Compliance Solutions Mid 7.1
AML Analysts,Members of this group have Analyst role,Group,AML.CASE.CREATE.FROM.ALERTS,Anti-Money Laundering Cases,Create case from Alerts for Anti-Money Laundering,Compliance Solutions Mid 7.1
AML Analysts,Members of this group have Analyst role,Group,FCF.ACCESS.SEARCH.CASES,Compliance Solutions Cases,Access Search Cases Page,Compliance Solutions Mid 7.1
AML Analysts,Members of this group have Analyst role,Group,AML.ALERT.ACTIVATE.CLOSED,Anti-Money Laundering Alerts,Activate Closed Alerts,Compliance Solutions Mid 7.1
AML Analysts,Members of this group have Analyst role,Group,AML.RISK_ASSESSMENT.ROUTE,Anti-Money Laundering Risk Assessment,Route Risk Assessments,Compliance Solutions Mid 7.1
AML Analysts,Members of this group have Analyst role,Group,AML.ALERTS.ACCESS.MY,Anti-Money Laundering Alerts,Access My Alerts,Compliance Solutions Mid 7.1
AML Analysts,Members of this group have Analyst role,Group,AML.ALERT.SUPPRESS.ALL,Anti-Money Laundering Alerts,Suppress Any Alert,Compliance Solutions Mid 7.1
AML Analysts,Members of this group have Analyst role,Group,AML.CLEAR_CACHE,Anti-Money Laundering Administration,Clear Cache,Compliance Solutions Mid 7.1
AML Analysts,Members of this group have Analyst role,Group,AML.RISK_ASSESSMENT.CREATE,Anti-Money Laundering Risk Assessment,Create Manual Risk Assessments,Compliance Solutions Mid 7.1
AML Analysts,Members of this group have Analyst role,Group,AML.COMMENT.CREATE,Anti-Money Laundering Notes,Create Note,Compliance Solutions Mid 7.1
AML Analysts,Members of this group have Analyst role,Group,AML.ENTITY.CHECKIN,Anti-Money Laundering Entities,Return Entity Ownership,Compliance Solutions Mid 7.1
AML Analysts,Members of this group have Analyst role,Group,AML.RISK_ASSESSMENTS.ACCESS.AVAILABLE,Anti-Money Laundering Risk Assessment,Access Available Risk Assessments,Compliance Solutions Mid 7.1
AML Analysts,Members of this group have Analyst role,Group,AML.ALERTS.ACCESS.CLOSED,Anti-Money Laundering Alerts,Access Closed Alerts,Compliance Solutions Mid 7.1
AML Analysts,Members of this group have Analyst role,Group,AML.ALERT.ACTIVATE.SUPPRESSED,Anti-Money Laundering Alerts,Activate Suppressed Alerts,Compliance Solutions Mid 7.1
AML Analysts,Members of this group have Analyst role,Group,FCF.SEARCH,Compliance Solutions Services,Access Global and Targeted Search,Compliance Solutions Mid 7.1
AML Analysts,Members of this group have Analyst role,Group,FCF.EXPORT.CSV,Compliance Solutions Services,Export to CSV,Compliance Solutions Mid 7.1
AML Analysts,Members of this group have Analyst role,Group,FCF.SERVICES.ACCESS.ALL,Compliance Solutions Services,Access Compliance Solutions REST Services,Compliance Solutions Mid 7.1
AML Analysts,Members of this group have Analyst role,Group,AML.RISK_ASSESSMENT.EDIT,Anti-Money Laundering Risk Assessment,Edit Risk Assessments,Compliance Solutions Mid 7.1
AML Analysts,Members of this group have Analyst role,Group,AML.CASE.CHECKOUT,Anti-Money Laundering Cases,Take Case Ownership,Compliance Solutions Mid 7.1
AML Analysts,Members of this group have Analyst role,Group,AML.CASE.CHECKIN,Anti-Money Laundering Cases,Return Case Ownership,Compliance Solutions Mid 7.1
AML Analysts,Members of this group have Analyst role,Group,AML.REPORT.CHECKIN,Anti-Money Laundering Regulatory Reports,Return Regulatory Report Ownership,Compliance Solutions Mid 7.1
AML Analysts,Members of this group have Analyst role,Group,FCF.ENTITY.ACCESS,Anti-Money Laundering Alerts,Access Entity,Compliance Solutions Mid 7.1
AML Analysts,Members of this group have Analyst role,Group,AML.ALERTS.ACCESS.SUPPRESSED,Anti-Money Laundering Alerts,Access Suppressed Alerts,Compliance Solutions Mid 7.1
AML Analysts,Members of this group have Analyst role,Group,AML.ALERT.CLOSE,Anti-Money Laundering Alerts,Close My Alerts,Compliance Solutions Mid 7.1
AML E-File Managers,Members of this group have the AML E-File Manager role,Group,FCF.ACCESS.SEARCH.REPORTS,Anti-Money Laundering Regulatory Reports,Access Search Reports Page,Compliance Solutions Mid 7.1
AML E-File Managers,Members of this group have the AML E-File Manager role,Group,FCF.EFILE.ACCESS,Compliance Solutions E-File,Access E-Files,Compliance Solutions Mid 7.1
AML E-File Managers,Members of this group have the AML E-File Manager role,Group,AML.COMMENT.DELETE.ALL,Anti-Money Laundering Notes,Delete Any Note,Compliance Solutions Mid 7.1
AML E-File Managers,Members of this group have the AML E-File Manager role,Group,FCF.ACCESS.SEARCH.EFILES,Compliance Solutions E-File,Access Search E-Files Page,Compliance Solutions Mid 7.1
AML E-File Managers,Members of this group have the AML E-File Manager role,Group,FCF.EFILE.SUBSCRIBE,Compliance Solutions E-File,Subscribe to E-Files for Compliance Solutions,Compliance Solutions Mid 7.1
AML E-File Managers,Members of this group have the AML E-File Manager role,Group,AML.COMMENT.DELETE,Anti-Money Laundering Notes,Delete Note,Compliance Solutions Mid 7.1
AML E-File Managers,Members of this group have the AML E-File Manager role,Group,FCF.SERVICES.ACCESS.ALL,Compliance Solutions Services,Access Compliance Solutions REST Services,Compliance Solutions Mid 7.1
AML E-File Managers,Members of this group have the AML E-File Manager role,Group,FCF.EFILE.REPORT.RESET,Compliance Solutions E-File,Reset E-Files for Compliance Solutions,Compliance Solutions Mid 7.1
AML E-File Managers,Members of this group have the AML E-File Manager role,Group,FCF.EFILE.CREATE,Compliance Solutions E-File,Create E-Files for Compliance Solutions,Compliance Solutions Mid 7.1
AML E-File Managers,Members of this group have the AML E-File Manager role,Group,FCF.REPORT.ACCESS,Anti-Money Laundering Regulatory Reports,Access Reports,Compliance Solutions Mid 7.1
AML E-File Managers,Members of this group have the AML E-File Manager role,Group,AML.REPORT.EDIT,Anti-Money Laundering Regulatory Reports,Edit Regulatory Reports for Anti-Money Laundering,Compliance Solutions Mid 7.1
AML E-File Managers,Members of this group have the AML E-File Manager role,Group,AML.ATTACHMENT.CREATE,Anti-Money Laundering Attachments,Create Attachment,Compliance Solutions Mid 7.1
AML E-File Managers,Members of this group have the AML E-File Manager role,Group,AML.REPORT.SUBSCRIBE,Anti-Money Laundering Regulatory Reports,Subscribe to Regulatory Report Notifications,Compliance Solutions Mid 7.1
AML E-File Managers,Members of this group have the AML E-File Manager role,Group,AML.REPORT.CREATE,Anti-Money Laundering Regulatory Reports,Create Regulatory Reports for Anti-Money Laundering,Compliance Solutions Mid 7.1
AML E-File Managers,Members of this group have the AML E-File Manager role,Group,AML.ATTACHMENT.DELETE,Anti-Money Laundering Attachments,Delete Attachment,Compliance Solutions Mid 7.1
AML E-File Managers,Members of this group have the AML E-File Manager role,Group,FCF.EFILE.EDIT,Compliance Solutions E-File,Edit E-Files for Compliance Solutions,Compliance Solutions Mid 7.1
AML E-File Managers,Members of this group have the AML E-File Manager role,Group,AML.COMMENT.CREATE,Anti-Money Laundering Notes,Create Note,Compliance Solutions Mid 7.1
AML Investigators,Members of this group have Investigator role,Group,AML.RISK_ASSESSMENT.CREATE,Anti-Money Laundering Risk Assessment,Create Manual Risk Assessments,Compliance Solutions Mid 7.1
AML Investigators,Members of this group have Investigator role,Group,FCF.CASE.ACCESS,Compliance Solutions Cases,Access Cases,Compliance Solutions Mid 7.1
AML Investigators,Members of this group have Investigator role,Group,AML.ALERTS.ACCESS.AVAILABLE,Anti-Money Laundering Alerts,Access Available Alerts,Compliance Solutions Mid 7.1
AML Investigators,Members of this group have Investigator role,Group,AML.ALERT.CLOSE,Anti-Money Laundering Alerts,Close My Alerts,Compliance Solutions Mid 7.1
AML Investigators,Members of this group have Investigator role,Group,FCF.SEARCH,Compliance Solutions Services,Access Global and Targeted Search,Compliance Solutions Mid 7.1
AML Investigators,Members of this group have Investigator role,Group,AML.REPORT.CREATE,Anti-Money Laundering Regulatory Reports,Create Regulatory Reports for Anti-Money Laundering,Compliance Solutions Mid 7.1
AML Investigators,Members of this group have Investigator role,Group,AML.ATTACHMENT.EDIT,Anti-Money Laundering Attachments,Edit Attachment,Compliance Solutions Mid 7.1
AML Investigators,Members of this group have Investigator role,Group,AML.COMMENT.DELETE.ALL,Anti-Money Laundering Notes,Delete Any Note,Compliance Solutions Mid 7.1
AML Investigators,Members of this group have Investigator role,Group,AML.COMMENT.DELETE,Anti-Money Laundering Notes,Delete Note,Compliance Solutions Mid 7.1
AML Investigators,Members of this group have Investigator role,Group,AML.COMMENT.CREATE,Anti-Money Laundering Notes,Create Note,Compliance Solutions Mid 7.1
AML Investigators,Members of this group have Investigator role,Group,AML.ENTITY.CHECKIN,Anti-Money Laundering Entities,Return Entity Ownership,Compliance Solutions Mid 7.1
AML Investigators,Members of this group have Investigator role,Group,AML.ALERT.CLOSE.ALL,Anti-Money Laundering Alerts,Close Any Alert,Compliance Solutions Mid 7.1
AML Investigators,Members of this group have Investigator role,Group,AML.ALERT.ACTIVATE.SUPPRESSED,Anti-Money Laundering Alerts,Activate Suppressed Alerts,Compliance Solutions Mid 7.1
AML Investigators,Members of this group have Investigator role,Group,AML.CLEAR_CACHE,Anti-Money Laundering Administration,Clear Cache,Compliance Solutions Mid 7.1
AML Investigators,Members of this group have Investigator role,Group,AML.RISK_ASSESSMENTS.ACCESS.MY,Anti-Money Laundering Risk Assessment,Access My Risk Assessments,Compliance Solutions Mid 7.1
AML Investigators,Members of this group have Investigator role,Group,AML.ENTITY.CHECKOUT,Anti-Money Laundering Entities,Take Entity Ownership,Compliance Solutions Mid 7.1
AML Investigators,Members of this group have Investigator role,Group,AML.ENTITY.ROUTE,Anti-Money Laundering Entities,Route Entity,Compliance Solutions Mid 7.1
AML Investigators,Members of this group have Investigator role,Group,AML.RISK_ASSESSMENTS.ACCESS.CLOSED,Anti-Money Laundering Risk Assessment,Access Closed Risk Assessments,Compliance Solutions Mid 7.1
AML Investigators,Members of this group have Investigator role,Group,AML.REPORT.SUBSCRIBE,Anti-Money Laundering Regulatory Reports,Subscribe to Regulatory Report Notifications,Compliance Solutions Mid 7.1
AML Investigators,Members of this group have Investigator role,Group,AML.ATTACHMENT.DELETE,Anti-Money Laundering Attachments,Delete Attachment,Compliance Solutions Mid 7.1
AML Investigators,Members of this group have Investigator role,Group,AML.ATTACHMENT.CREATE,Anti-Money Laundering Attachments,Create Attachment,Compliance Solutions Mid 7.1
AML Investigators,Members of this group have Investigator role,Group,AML.CASE.ROUTE.ALL,Anti-Money Laundering Cases,Route Any Cases for Anti-Money Laundering,Compliance Solutions Mid 7.1
AML Investigators,Members of this group have Investigator role,Group,AML.CASE.EDIT.ALL,Anti-Money Laundering Cases,Edit Any Cases for Anti-Money Laundering,Compliance Solutions Mid 7.1
AML Investigators,Members of this group have Investigator role,Group,AML.RISK_ASSESSMENTS.ACCESS.SEARCH,Anti-Money Laundering Risk Assessment,Access Risk Assessments Search,Compliance Solutions Mid 7.1
AML Investigators,Members of this group have Investigator role,Group,FCF.REPORT.ACCESS,Anti-Money Laundering Regulatory Reports,Access Reports,Compliance Solutions Mid 7.1
AML Investigators,Members of this group have Investigator role,Group,FCF.ACCESS.SEARCH.REPORTS,Anti-Money Laundering Regulatory Reports,Access Search Reports Page,Compliance Solutions Mid 7.1
AML Investigators,Members of this group have Investigator role,Group,AML.ALERT.CREATE,Anti-Money Laundering Alerts,Create Alerts,Compliance Solutions Mid 7.1
AML Investigators,Members of this group have Investigator role,Group,AML.RISK_ASSESSMENT.TAKE_OWNERSHIP,Anti-Money Laundering Risk Assessment,Take Risk Assessment Ownership,Compliance Solutions Mid 7.1
AML Investigators,Members of this group have Investigator role,Group,AML.CASE.CHECKOUT,Anti-Money Laundering Cases,Take Case Ownership,Compliance Solutions Mid 7.1
AML Investigators,Members of this group have Investigator role,Group,AML.CASE.CREATE.FROM.ALERTS,Anti-Money Laundering Cases,Create case from Alerts for Anti-Money Laundering,Compliance Solutions Mid 7.1
AML Investigators,Members of this group have Investigator role,Group,FCF.CASE.PRINT,Compliance Solutions Cases,Access Print Case Reports,Compliance Solutions Mid 7.1
AML Investigators,Members of this group have Investigator role,Group,AML.RISK_ASSESSMENTS.ACCESS.AVAILABLE,Anti-Money Laundering Risk Assessment,Access Available Risk Assessments,Compliance Solutions Mid 7.1
AML Investigators,Members of this group have Investigator role,Group,AML.REPORT.CHECKOUT,Anti-Money Laundering Regulatory Reports,Take Regulatory Report Ownership,Compliance Solutions Mid 7.1
AML Investigators,Members of this group have Investigator role,Group,AML.REPORT.CHECKIN,Anti-Money Laundering Regulatory Reports,Return Regulatory Report Ownership,Compliance Solutions Mid 7.1
AML Investigators,Members of this group have Investigator role,Group,AML.ALERTS.ACCESS.SEARCH,Anti-Money Laundering Alerts,Access Alert Search,Compliance Solutions Mid 7.1
AML Investigators,Members of this group have Investigator role,Group,AML.ALERTS.ACCESS.CLOSED,Anti-Money Laundering Alerts,Access Closed Alerts,Compliance Solutions Mid 7.1
AML Investigators,Members of this group have Investigator role,Group,AML.ALERT.ACTIVATE.CLOSED,Anti-Money Laundering Alerts,Activate Closed Alerts,Compliance Solutions Mid 7.1
AML Investigators,Members of this group have Investigator role,Group,AML.ALERT.EDIT,Anti-Money Laundering Alerts,Edit Alerts,Compliance Solutions Mid 7.1
AML Investigators,Members of this group have Investigator role,Group,AML.RISK_ASSESSMENT.EDIT,Anti-Money Laundering Risk Assessment,Edit Risk Assessments,Compliance Solutions Mid 7.1
AML Investigators,Members of this group have Investigator role,Group,AML.CASE.PRINT,Anti-Money Laundering Cases,Print Cases for Anti-Money Laundering,Compliance Solutions Mid 7.1
AML Investigators,Members of this group have Investigator role,Group,AML.CASE.CHECKIN,Anti-Money Laundering Cases,Return Case Ownership,Compliance Solutions Mid 7.1
AML Investigators,Members of this group have Investigator role,Group,AML.CASE.EDIT,Anti-Money Laundering Cases,Edit My Cases for Anti-Money Laundering,Compliance Solutions Mid 7.1
AML Investigators,Members of this group have Investigator role,Group,FCF.ACCESS.SEARCH.CASES,Compliance Solutions Cases,Access Search Cases Page,Compliance Solutions Mid 7.1
AML Investigators,Members of this group have Investigator role,Group,AML.REPORT.ROUTE.ALL,Anti-Money Laundering Regulatory Reports,Route Any Regulatory Reports for Anti-Money Laundering,Compliance Solutions Mid 7.1
AML Investigators,Members of this group have Investigator role,Group,AML.REPORT.ROUTE,Anti-Money Laundering Regulatory Reports,Route My Regulatory Reports for Anti-Money Laundering,Compliance Solutions Mid 7.1
AML Investigators,Members of this group have Investigator role,Group,FCF.ENTITY.ACCESS,Anti-Money Laundering Alerts,Access Entity,Compliance Solutions Mid 7.1
AML Investigators,Members of this group have Investigator role,Group,AML.ALERTS.ACCESS.SUPPRESSED,Anti-Money Laundering Alerts,Access Suppressed Alerts,Compliance Solutions Mid 7.1
AML Investigators,Members of this group have Investigator role,Group,AML.ALERT.SUPPRESS.ALL,Anti-Money Laundering Alerts,Suppress Any Alert,Compliance Solutions Mid 7.1
AML Investigators,Members of this group have Investigator role,Group,AML.ALERT.SUPPRESS,Anti-Money Laundering Alerts,Suppress My Alerts,Compliance Solutions Mid 7.1
AML Investigators,Members of this group have Investigator role,Group,AML.REPORT.EDIT,Anti-Money Laundering Regulatory Reports,Edit Regulatory Reports for Anti-Money Laundering,Compliance Solutions Mid 7.1
AML Investigators,Members of this group have Investigator role,Group,AML.CASE.CREATE,Anti-Money Laundering Cases,Create Cases for Anti-Money Laundering,Compliance Solutions Mid 7.1
AML Investigators,Members of this group have Investigator role,Group,AML.ALERTS.ACCESS.MY,Anti-Money Laundering Alerts,Access My Alerts,Compliance Solutions Mid 7.1
AML Investigators,Members of this group have Investigator role,Group,AML.COMMENT.EDIT,Anti-Money Laundering Notes,Edit Note,Compliance Solutions Mid 7.1
AML Investigators,Members of this group have Investigator role,Group,AML.CASE.ROUTE,Anti-Money Laundering Cases,Route My Cases for Anti-Money Laundering,Compliance Solutions Mid 7.1
AML Investigators,Members of this group have Investigator role,Group,FCF.EXPORT.CSV,Compliance Solutions Services,Export to CSV,Compliance Solutions Mid 7.1
AML Investigators,Members of this group have Investigator role,Group,FCF.SERVICES.ACCESS.ALL,Compliance Solutions Services,Access Compliance Solutions REST Services,Compliance Solutions Mid 7.1
AML Investigators,Members of this group have Investigator role,Group,AML.RISK_ASSESSMENT.ROUTE,Anti-Money Laundering Risk Assessment,Route Risk Assessments,Compliance Solutions Mid 7.1
AML Managers,Members of this group have Manager role,Group,AML.RISK_ASSESSMENTS.ACCESS.MY,Anti-Money Laundering Risk Assessment,Access My Risk Assessments,Compliance Solutions Mid 7.1
AML Managers,Members of this group have Manager role,Group,AML.ATTACHMENT.DELETE,Anti-Money Laundering Attachments,Delete Attachment,Compliance Solutions Mid 7.1
AML Managers,Members of this group have Manager role,Group,AML.CASE.SUBSCRIBE,Anti-Money Laundering Cases,Subscribe to Case Notifications,Compliance Solutions Mid 7.1
AML Managers,Members of this group have Manager role,Group,AML.CASE.CLOSE,Anti-Money Laundering Cases,Close My Cases,Compliance Solutions Mid 7.1
AML Managers,Members of this group have Manager role,Group,FCF.CASE.ACCESS,Compliance Solutions Cases,Access Cases,Compliance Solutions Mid 7.1
AML Managers,Members of this group have Manager role,Group,FCF.SERVICES.ACCESS.ALL,Compliance Solutions Services,Access Compliance Solutions REST Services,Compliance Solutions Mid 7.1
AML Managers,Members of this group have Manager role,Group,AML.RISK_ASSESSMENT.TAKE_OWNERSHIP,Anti-Money Laundering Risk Assessment,Take Risk Assessment Ownership,Compliance Solutions Mid 7.1
AML Managers,Members of this group have Manager role,Group,AML.ATTACHMENT.EDIT,Anti-Money Laundering Attachments,Edit Attachment,Compliance Solutions Mid 7.1
AML Managers,Members of this group have Manager role,Group,AML.ENTITY.ROUTE,Anti-Money Laundering Entities,Route Entity,Compliance Solutions Mid 7.1
AML Managers,Members of this group have Manager role,Group,AML.CASE.ROUTE,Anti-Money Laundering Cases,Route My Cases for Anti-Money Laundering,Compliance Solutions Mid 7.1
AML Managers,Members of this group have Manager role,Group,FCF.EFILE.READY,Compliance Solutions E-File,Ready E-Files for Compliance Solutions,Compliance Solutions Mid 7.1
AML Managers,Members of this group have Manager role,Group,AML.ALERTS.ACCESS.SEARCH,Anti-Money Laundering Alerts,Access Alert Search,Compliance Solutions Mid 7.1
AML Managers,Members of this group have Manager role,Group,AML.RISK_ASSESSMENT.EDIT,Anti-Money Laundering Risk Assessment,Edit Risk Assessments,Compliance Solutions Mid 7.1
AML Managers,Members of this group have Manager role,Group,AML.CASE.PRINT,Anti-Money Laundering Cases,Print Cases for Anti-Money Laundering,Compliance Solutions Mid 7.1
AML Managers,Members of this group have Manager role,Group,FCF.CASE.PRINT,Compliance Solutions Cases,Access Print Case Reports,Compliance Solutions Mid 7.1
AML Managers,Members of this group have Manager role,Group,AML.RISK_ASSESSMENTS.ACCESS.AVAILABLE,Anti-Money Laundering Risk Assessment,Access Available Risk Assessments,Compliance Solutions Mid 7.1
AML Managers,Members of this group have Manager role,Group,FCF.ENTITY.ACCESS,Anti-Money Laundering Alerts,Access Entity,Compliance Solutions Mid 7.1
AML Managers,Members of this group have Manager role,Group,AML.ALERTS.ACCESS.MY,Anti-Money Laundering Alerts,Access My Alerts,Compliance Solutions Mid 7.1
AML Managers,Members of this group have Manager role,Group,AML.ALERT.SUPPRESS.ALL,Anti-Money Laundering Alerts,Suppress Any Alert,Compliance Solutions Mid 7.1
AML Managers,Members of this group have Manager role,Group,AML.ALERT.EDIT,Anti-Money Laundering Alerts,Edit Alerts,Compliance Solutions Mid 7.1
AML Managers,Members of this group have Manager role,Group,FCF.EXPORT.CSV,Compliance Solutions Services,Export to CSV,Compliance Solutions Mid 7.1
AML Managers,Members of this group have Manager role,Group,AML.RISK_ASSESSMENT.CREATE,Anti-Money Laundering Risk Assessment,Create Manual Risk Assessments,Compliance Solutions Mid 7.1
AML Managers,Members of this group have Manager role,Group,AML.REPORT.CREATE,Anti-Money Laundering Regulatory Reports,Create Regulatory Reports for Anti-Money Laundering,Compliance Solutions Mid 7.1
AML Managers,Members of this group have Manager role,Group,AML.ENTITY.CHECKIN,Anti-Money Laundering Entities,Return Entity Ownership,Compliance Solutions Mid 7.1
AML Managers,Members of this group have Manager role,Group,AML.ENTITY.CHECKOUT,Anti-Money Laundering Entities,Take Entity Ownership,Compliance Solutions Mid 7.1
AML Managers,Members of this group have Manager role,Group,AML.CASE.ROUTE.ALL,Anti-Money Laundering Cases,Route Any Cases for Anti-Money Laundering,Compliance Solutions Mid 7.1
AML Managers,Members of this group have Manager role,Group,AML.CASE.EDIT.ALL,Anti-Money Laundering Cases,Edit Any Cases for Anti-Money Laundering,Compliance Solutions Mid 7.1
AML Managers,Members of this group have Manager role,Group,AML.CASE.CREATE,Anti-Money Laundering Cases,Create Cases for Anti-Money Laundering,Compliance Solutions Mid 7.1
AML Managers,Members of this group have Manager role,Group,FCF.ACCESS.SEARCH.CASES,Compliance Solutions Cases,Access Search Cases Page,Compliance Solutions Mid 7.1
AML Managers,Members of this group have Manager role,Group,AML.REPORT.ROUTE.ALL,Anti-Money Laundering Regulatory Reports,Route Any Regulatory Reports for Anti-Money Laundering,Compliance Solutions Mid 7.1
AML Managers,Members of this group have Manager role,Group,AML.ALERTS.ACCESS.AVAILABLE,Anti-Money Laundering Alerts,Access Available Alerts,Compliance Solutions Mid 7.1
AML Managers,Members of this group have Manager role,Group,AML.CLEAR_CACHE,Anti-Money Laundering Administration,Clear Cache,Compliance Solutions Mid 7.1
AML Managers,Members of this group have Manager role,Group,AML.COMMENT.DELETE.ALL,Anti-Money Laundering Notes,Delete Any Note,Compliance Solutions Mid 7.1
AML Managers,Members of this group have Manager role,Group,AML.CASE.CHECKOUT,Anti-Money Laundering Cases,Take Case Ownership,Compliance Solutions Mid 7.1
AML Managers,Members of this group have Manager role,Group,FCF.ACCESS.SEARCH.REPORTS,Anti-Money Laundering Regulatory Reports,Access Search Reports Page,Compliance Solutions Mid 7.1
AML Managers,Members of this group have Manager role,Group,AML.REPORT.SUBSCRIBE,Anti-Money Laundering Regulatory Reports,Subscribe to Regulatory Report Notifications,Compliance Solutions Mid 7.1
AML Managers,Members of this group have Manager role,Group,AML.REPORT.CHECKIN,Anti-Money Laundering Regulatory Reports,Return Regulatory Report Ownership,Compliance Solutions Mid 7.1
AML Managers,Members of this group have Manager role,Group,AML.ALERTS.ACCESS.CLOSED,Anti-Money Laundering Alerts,Access Closed Alerts,Compliance Solutions Mid 7.1
AML Managers,Members of this group have Manager role,Group,AML.COMMENT.EDIT,Anti-Money Laundering Notes,Edit Note,Compliance Solutions Mid 7.1
AML Managers,Members of this group have Manager role,Group,AML.CASE.CREATE.FROM.ALERTS,Anti-Money Laundering Cases,Create case from Alerts for Anti-Money Laundering,Compliance Solutions Mid 7.1
AML Managers,Members of this group have Manager role,Group,AML.REPORT.CHECKOUT,Anti-Money Laundering Regulatory Reports,Take Regulatory Report Ownership,Compliance Solutions Mid 7.1
AML Managers,Members of this group have Manager role,Group,AML.REPORT.CLOSE,Anti-Money Laundering Regulatory Reports,Close My Regulatory Reports,Compliance Solutions Mid 7.1
AML Managers,Members of this group have Manager role,Group,AML.REPORT.ROUTE,Anti-Money Laundering Regulatory Reports,Route My Regulatory Reports for Anti-Money Laundering,Compliance Solutions Mid 7.1
AML Managers,Members of this group have Manager role,Group,AML.ALERT.SUPPRESS,Anti-Money Laundering Alerts,Suppress My Alerts,Compliance Solutions Mid 7.1
AML Managers,Members of this group have Manager role,Group,AML.ALERT.ACTIVATE.SUPPRESSED,Anti-Money Laundering Alerts,Activate Suppressed Alerts,Compliance Solutions Mid 7.1
AML Managers,Members of this group have Manager role,Group,AML.ALERT.CREATE,Anti-Money Laundering Alerts,Create Alerts,Compliance Solutions Mid 7.1
